index,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Trend,14 day SMA,upper band,lower band
65,NCC,EQ,83.05,86.4,86.8,84.1,86.0,86.25,85.7,3351685,287239692.4,13878,1467907,43.8,Among top gainers,88.18214285714285,93.04465362720934,83.31963208707636
66,NCC,EQ,86.25,86.5,87.9,85.0,87.5,87.55,86.58,1579339,136732381.2,8417,372046,23.56,Positive,87.99285714285713,92.72147007053286,83.2642442151814
67,NCC,EQ,87.55,87.55,89.45,86.5,87.75,87.8,88.31,2570708,227007582.7,11551,548649,21.34,Slight or No change,87.88571428571427,92.55433763270274,83.2170909387258
68,NCC,EQ,87.8,87.5,88.45,86.5,87.15,87.15,87.32,1743717,152267797.1,9205,625908,35.9,Slight negative,87.69285714285715,92.2332497288751,83.1524645568392
69,NCC,EQ,87.15,87.25,87.9,84.8,85.1,85.05,85.95,2141119,184022478.4,14668,886989,41.43,Negative,87.41785714285713,92.10722435338425,82.72848993233
70,NCC,EQ,85.05,85.6,86.2,83.4,83.95,84.15,84.4,1910823,161270921.35,7183,734303,38.43,Negative,87.07857142857142,91.98817180173603,82.16897105540681
71,NCC,EQ,84.15,84.3,86.6,84.1,86.3,86.2,85.84,1405104,120609900.4,6362,275506,19.61,Positive,86.78214285714286,91.32858815376385,82.23569756052187
72,NCC,EQ,86.2,88.0,88.0,84.85,86.3,86.1,86.65,2373052,205613877.45,13099,834512,35.17,Slight or No change,86.60357142857143,91.03743834405032,82.16970451309254
74,NCC,EQ,86.1,86.1,87.05,86.1,86.55,86.5,86.58,1050660,90970928.85,7631,428071,40.74,Slight or No change,86.57142857142857,91.00099953271831,82.14185761013883
75,NCC,EQ,86.5,85.5,86.3,84.1,84.45,84.35,85.25,1897452,161762948.2,10085,707394,37.28,Negative,86.15714285714284,90.2142083261466,82.10007738813908
76,NCC,EQ,84.35,84.85,85.95,84.85,85.0,85.05,85.34,1794393,153141063.45,7321,1031065,57.46,Slight positive,85.86071428571427,89.5498206130662,82.17160795836233
77,NCC,EQ,85.05,85.2,85.55,84.0,84.25,84.4,84.7,2716414,230074711.1,9636,1235639,45.49,Slight negative,85.48928571428571,88.55025051227153,82.4283209162999
78,NCC,EQ,84.4,84.6,87.75,84.55,87.4,87.35,86.65,3241020,280842625.35,11446,1116832,34.46,Among top gainers,85.78214285714284,88.70147026726238,82.86281544702331
79,NCC,EQ,87.35,86.5,87.2,84.2,85.5,85.55,85.68,1503789,128844723.3,8039,590810,39.29,Negative,85.96071428571427,88.43152186824528,83.48990670318327
80,NCC,EQ,85.55,85.5,86.95,85.15,86.5,86.65,86.23,2117591,182607316.8,12284,931299,43.98,Positive,85.98928571428571,88.48364198130449,83.49492944726694
81,NCC,EQ,86.65,86.4,87.75,85.75,86.2,86.15,86.86,2659504,230994773.8,13692,895112,33.66,Slight negative,85.88928571428572,88.2210656786478,83.55750574992364
82,NCC,EQ,86.15,86.5,87.25,85.2,85.45,85.5,85.97,2081441,178939597.1,6571,1149270,55.22,Slight negative,85.72500000000001,87.78515309363978,83.66484690636024
83,NCC,EQ,85.5,85.6,87.1,85.1,85.4,85.55,86.05,1936759,166649446.55,8520,708085,36.56,Slight or No change,85.61071428571428,87.50084190510542,83.72058666632314
84,NCC,EQ,85.55,86.9,86.9,85.15,85.4,85.55,85.85,1746039,149893321.8,13269,1010946,57.9,Slight or No change,85.64642857142857,87.50962032658592,83.78323681627123
85,NCC,EQ,85.55,86.8,91.8,86.45,90.35,90.15,90.48,16330189,1477580016.6,52606,3820351,23.39,Among top gainers,86.075,88.94413280921704,83.20586719078297
86,NCC,EQ,90.15,90.35,91.2,88.2,88.9,88.8,89.85,3498841,314361581.35,16162,644183,18.41,Negative,86.26071428571427,89.47993028473547,83.04149828669307
87,NCC,EQ,88.8,89.8,93.2,89.6,90.9,91.15,91.57,9432101,863685529.45,36498,2891685,30.66,Positive,86.62142857142858,90.7627242225904,82.48013292026675
88,NCC,EQ,91.15,90.35,91.25,90.05,90.8,90.5,90.68,4515221,409458484.8,27201,2539729,56.25,Slight negative,86.90714285714286,91.53562610145295,82.27865961283277
89,NCC,EQ,90.5,91.6,92.0,90.35,90.8,90.7,90.91,3002822,272975603.3,16583,1534464,51.1,Slight or No change,87.3607142857143,92.15143906971576,82.56998950171283
90,NCC,EQ,90.7,91.1,91.4,89.1,89.85,89.85,90.04,1844497,166072004.55,7643,536989,29.11,Slight negative,87.70357142857144,92.46890526718215,82.93823758996072
91,NCC,EQ,89.85,90.4,90.6,87.7,88.3,88.5,88.64,3239706,287176766.85,10103,1584517,48.91,Negative,87.99642857142858,92.37548085486853,83.61737628798863
92,NCC,EQ,88.5,88.25,90.1,86.65,88.55,88.7,88.59,3304138,292729866.85,11938,1042926,31.56,Slight or No change,88.09285714285716,92.47004576339681,83.7156685223175
93,NCC,EQ,88.7,87.8,87.85,84.5,84.85,84.9,86.05,2433480,209400546.5,11988,1012076,41.59,Among top losers,88.04642857142859,92.55171850245844,83.54113864039874
94,NCC,EQ,84.9,84.85,85.05,81.65,83.2,83.5,83.18,2556107,212615725.4,14207,911871,35.67,Negative,87.82142857142858,92.90469134641496,82.7381657964422
95,NCC,EQ,83.5,83.6,84.6,82.75,83.45,83.55,83.83,1338138,112170440.15,6803,379924,28.39,Slight or No change,87.63571428571429,93.15343797626609,82.11799059516248
96,NCC,EQ,83.55,84.0,84.85,81.15,81.75,81.8,83.26,1913197,159290556.1,6966,845082,44.17,Negative,87.37142857142858,93.63398080191438,81.10887634094279
97,NCC,EQ,81.8,82.05,83.2,81.1,81.55,81.75,82.03,2670772,219089176.5,12095,1026461,38.43,Slight or No change,87.10000000000001,93.99960979944647,80.20039020055354
99,NCC,EQ,81.75,82.15,84.3,82.15,82.9,82.95,83.27,2868462,238852196.2,8665,1103111,38.46,Positive,86.91428571428573,94.1265006276148,79.70207080095665
100,NCC,EQ,82.95,83.45,84.25,82.7,83.15,83.15,83.47,1865086,155680706.6,7162,744422,39.91,Slight or No change,86.41428571428573,93.63076563302624,79.19780579554521
101,NCC,EQ,83.15,83.5,84.0,82.05,82.6,82.6,82.78,1746487,144578158.95,6705,618473,35.41,Slight negative,85.97142857142858,93.31704100185429,78.62581614100286
102,NCC,EQ,82.6,82.7,83.65,82.45,82.75,82.85,82.98,1020379,84672092.15,4156,241770,23.69,Slight or No change,85.37857142857142,92.24809322199583,78.50904963514701
103,NCC,EQ,82.85,84.0,87.55,83.5,85.85,85.85,86.19,7393638,637252053.2,23981,1902482,25.73,Among top gainers,85.04642857142856,91.26840751530368,78.82444962755345
104,NCC,EQ,85.85,86.95,86.95,84.9,85.7,85.7,85.65,1305865,111848108.5,4882,245308,18.79,Slight or No change,84.6892857142857,90.02410293001843,79.35446849855298
105,NCC,EQ,85.7,86.55,90.5,86.5,88.8,88.95,89.06,9255101,824297380.3,41005,2160166,23.34,Among top gainers,84.625,89.70766283934564,79.54233716065436
106,NCC,EQ,88.95,89.2,89.4,85.0,86.3,86.3,86.87,2296518,199500321.05,8331,704195,30.66,Negative,84.46785714285714,89.15509138440818,79.7806229013061
107,NCC,EQ,86.3,89.0,91.05,87.45,89.65,89.5,89.37,8189541,731924854.45,62565,3003154,36.67,Among top gainers,84.52499999999999,89.4480618990159,79.60193810098409
108,NCC,EQ,89.5,89.8,91.95,89.5,90.5,90.5,90.85,5011169,455245194.5,16553,1985985,39.63,Positive,84.92499999999998,90.79772050704351,79.05227949295646
