index,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
56,NCC,EQ,2017-08-01,88.9,89.0,89.9,88.35,88.6,88.9,88.98,2417176,215077944.95,10691,1460006,60.4,8,2017,215773244.26666665,0.0,Slight or No change
57,NCC,EQ,2017-08-02,88.9,89.3,91.35,87.55,89.85,90.35,89.14,5529782,492905349.15,23829,2907944,52.59,8,2017,499523640.6666666,1.63104611923508,Positive
58,NCC,EQ,2017-08-03,90.35,90.8,91.45,88.05,88.35,88.6,89.82,3714447,333630743.3,22238,995710,26.81,8,2017,335352656.65000004,-1.9369120088544522,Negative
59,NCC,EQ,2017-08-04,88.6,88.6,89.2,86.3,87.15,86.95,87.37,2579934,225399478.0,11669,1000881,38.79,8,2017,227679175.5,-1.8623024830699664,Negative
60,NCC,EQ,2017-08-07,86.95,87.4,90.45,86.6,90.2,90.15,89.24,6925876,618057811.2,15221,4853134,70.07,8,2017,618711589.3333333,3.680276020701556,Among top gainers
61,NCC,EQ,2017-08-08,90.15,90.75,91.75,88.1,88.95,89.2,90.28,7682512,693580842.7,30723,1217536,15.85,8,2017,695779503.4666666,-1.0537992235163607,Negative
62,NCC,EQ,2017-08-09,89.2,89.0,92.0,88.5,88.9,89.6,90.38,5364312,484826186.65,36631,1703002,31.75,8,2017,483860942.40000004,0.4484304932735439,Slight or No change
63,NCC,EQ,2017-08-10,89.6,89.0,89.1,76.2,84.45,83.25,84.72,5567130,471628860.15,21469,2327740,41.81,8,2017,484989808.50000006,-7.087053571428569,Bear drop
64,NCC,EQ,2017-08-11,83.25,80.9,85.5,80.0,82.9,83.05,83.07,2945379,244662839.65,11863,612645,20.8,8,2017,244908263.84999996,-0.2402402402402415,Slight or No change
65,NCC,EQ,2017-08-14,83.05,86.4,86.8,84.1,86.0,86.25,85.7,3351685,287239692.4,13878,1467907,43.8,8,2017,289864891.0833333,3.8531005418422692,Among top gainers
66,NCC,EQ,2017-08-16,86.25,86.5,87.9,85.0,87.5,87.55,86.58,1579339,136732381.2,8417,372046,23.56,8,2017,137902617.01666665,1.5072463768115885,Positive
67,NCC,EQ,2017-08-17,87.55,87.55,89.45,86.5,87.75,87.8,88.31,2570708,227007582.7,11551,548649,21.34,8,2017,226907826.13333333,0.2855511136493405,Slight or No change
68,NCC,EQ,2017-08-18,87.8,87.5,88.45,86.5,87.15,87.15,87.32,1743717,152267797.1,9205,625908,35.9,8,2017,152923980.9,-0.7403189066059079,Slight negative
69,NCC,EQ,2017-08-21,87.15,87.25,87.9,84.8,85.1,85.05,85.95,2141119,184022478.4,14668,886989,41.43,8,2017,185706387.93333334,-2.4096385542168752,Negative
70,NCC,EQ,2017-08-22,85.05,85.6,86.2,83.4,83.95,84.15,84.4,1910823,161270921.35,7183,734303,38.43,8,2017,163025048.95000002,-1.058201058201047,Negative
